RGB,R,G,B,Location,Frequency,NoteName
"(1.0, 0.0, 1.0)",1.0,0.0,1.0,0,55.0,A
"(1.0, 0.05, 1.0)",1.0,0.05,1.0,0,55.0,A
"(1.0, 0.1, 1.0)",1.0,0.1,1.0,0,55.0,A
"(1.0, 0.15, 1.0)",1.0,0.15,1.0,0,55.0,A
"(1.0, 0.2, 1.0)",1.0,0.2,1.0,0,55.0,A
"(1.0, 0.25, 1.0)",1.0,0.25,1.0,0,55.0,A
"(1.0, 0.3, 1.0)",1.0,0.3,1.0,0,55.0,A
"(1.0, 0.35, 1.0)",1.0,0.35,1.0,0,55.0,A
"(1.0, 0.4, 1.0)",1.0,0.4,1.0,0,55.0,A
"(1.0, 0.45, 1.0)",1.0,0.45,1.0,0,55.0,A
"(1.0, 0.5, 1.0)",1.0,0.5,1.0,0,55.0,A
"(1.0, 0.55, 1.0)",1.0,0.55,1.0,0,55.0,A
"(1.0, 0.6, 1.0)",1.0,0.6,1.0,0,55.0,A
"(1.0, 0.65, 1.0)",1.0,0.65,1.0,0,55.0,A
"(1.0, 0.7, 1.0)",1.0,0.7,1.0,0,55.0,A
"(1.0, 0.75, 1.0)",1.0,0.75,1.0,0,55.0,A
"(1.0, 0.8, 1.0)",1.0,0.8,1.0,0,55.0,A
"(1.0, 0.85, 1.0)",1.0,0.85,1.0,0,55.0,A
"(1.0, 0.9, 1.0)",1.0,0.9,1.0,0,55.0,A
"(1.0, 0.95, 1.0)",1.0,0.95,1.0,0,55.0,A
"(1.0, 0.0, 0.9)",1.0,0.0,0.9,1,58.27,A#/Bb
"(1.0, 0.0, 0.95)",1.0,0.0,0.95,1,58.27,A#/Bb
"(1.0, 0.05, 0.9)",1.0,0.05,0.9,1,58.27,A#/Bb
"(1.0, 0.05, 0.95)",1.0,0.05,0.95,1,58.27,A#/Bb
"(1.0, 0.1, 0.9)",1.0,0.1,0.9,1,58.27,A#/Bb
"(1.0, 0.1, 0.95)",1.0,0.1,0.95,1,58.27,A#/Bb
"(1.0, 0.15, 0.9)",1.0,0.15,0.9,1,58.27,A#/Bb
"(1.0, 0.15, 0.95)",1.0,0.15,0.95,1,58.27,A#/Bb
"(1.0, 0.2, 0.9)",1.0,0.2,0.9,1,58.27,A#/Bb
"(1.0, 0.2, 0.95)",1.0,0.2,0.95,1,58.27,A#/Bb
"(1.0, 0.25, 0.9)",1.0,0.25,0.9,1,58.27,A#/Bb
"(1.0, 0.25, 0.95)",1.0,0.25,0.95,1,58.27,A#/Bb
"(1.0, 0.3, 0.9)",1.0,0.3,0.9,1,58.27,A#/Bb
"(1.0, 0.3, 0.95)",1.0,0.3,0.95,1,58.27,A#/Bb
"(1.0, 0.35, 0.9)",1.0,0.35,0.9,1,58.27,A#/Bb
"(1.0, 0.35, 0.95)",1.0,0.35,0.95,1,58.27,A#/Bb
"(1.0, 0.4, 0.9)",1.0,0.4,0.9,1,58.27,A#/Bb
"(1.0, 0.4, 0.95)",1.0,0.4,0.95,1,58.27,A#/Bb
"(1.0, 0.45, 0.9)",1.0,0.45,0.9,1,58.27,A#/Bb
"(1.0, 0.45, 0.95)",1.0,0.45,0.95,1,58.27,A#/Bb
"(1.0, 0.5, 0.9)",1.0,0.5,0.9,1,58.27,A#/Bb
"(1.0, 0.5, 0.95)",1.0,0.5,0.95,1,58.27,A#/Bb
"(1.0, 0.55, 0.9)",1.0,0.55,0.9,1,58.27,A#/Bb
"(1.0, 0.55, 0.95)",1.0,0.55,0.95,1,58.27,A#/Bb
"(1.0, 0.6, 0.9)",1.0,0.6,0.9,1,58.27,A#/Bb
"(1.0, 0.6, 0.95)",1.0,0.6,0.95,1,58.27,A#/Bb
"(1.0, 0.65, 0.9)",1.0,0.65,0.9,1,58.27,A#/Bb
"(1.0, 0.65, 0.95)",1.0,0.65,0.95,1,58.27,A#/Bb
"(1.0, 0.7, 0.9)",1.0,0.7,0.9,1,58.27,A#/Bb
