Wavelength,CCT,Color,Channel
400.0,1.178477690288714,violet,1
410.0,1.3611376673040156,violet,2
420.0,1.4527238572323107,violet,3
430.0,1.5031002501042101,violet,4
440.0,1.72528616024974,violet,5
450.0,2.084675743088755,blue,6
460.0,2.2222222222222223,blue,7
470.0,2.200834389522602,blue,8
480.0,2.371794871794872,blue,9
490.0,2.3903367653367655,cyan,10
500.0,2.3824855119124275,green,11
510.0,2.490932366119053,green,12
520.0,2.5192143467122117,green,13
530.0,2.571795970852979,green,14
540.0,2.5531001930916113,green,15
550.0,2.681823050556984,green,16
560.0,2.6939655172413794,green,17
570.0,2.605519480519481,yellow,18
580.0,2.6128266033254155,yellow,19
590.0,2.5728941684665227,orange,20
600.0,2.7062134661182076,orange,21
610.0,2.7034757027674874,orange,22
620.0,2.6050788091068298,orange,23
630.0,2.523087071240106,orange,24
640.0,2.61640798226164,red,25
650.0,2.617509467587436,red,26
660.0,2.668759811616954,red,27
670.0,2.6874435411020774,red,28
680.0,2.5791855203619907,red,29
690.0,2.302031036056595,red,30
700.0,2.4787697957310075,red,31
710.0,2.597891566265061,red,32
720.0,2.2523999063451177,red,33
